yourlist:M2022040592C7BAECDB1C5C413EE0E0348724B682493F9F6	Entry	Entry name	Status	Protein names	Gene names	Cross-reference (GeneID)	Organism	Length
STAT5B	P51692	STA5B_HUMAN	reviewed	Signal transducer and activator of transcription 5B	STAT5B	6777;	Homo sapiens (Human)	787
CCNE2	O96020	CCNE2_HUMAN	reviewed	G1/S-specific cyclin-E2	CCNE2	9134;	Homo sapiens (Human)	404
LSM6	P62312	LSM6_HUMAN	reviewed	U6 snRNA-associated Sm-like protein LSm6	LSM6	11157;	Homo sapiens (Human)	80
IKZF1	Q13422	IKZF1_HUMAN	reviewed	DNA-binding protein Ikaros (Ikaros family zinc finger protein 1) (Lymphoid transcription factor LyF-1)	IKZF1 IK1 IKAROS LYF1 ZNFN1A1	10320;	Homo sapiens (Human)	519
CENPE	Q02224	CENPE_HUMAN	reviewed	Centromere-associated protein E (Centromere protein E) (CENP-E) (Kinesin-7) (Kinesin-related protein CENPE)	CENPE	1062;	Homo sapiens (Human)	2701
KIT	P10721	KIT_HUMAN	reviewed	Mast/stem cell growth factor receptor Kit (SCFR) (EC 2.7.10.1) (Piebald trait protein) (PBT) (Proto-oncogene c-Kit) (Tyrosine-protein kinase Kit) (p145 c-kit) (v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog) (CD antigen CD117)	KIT SCFR	3815;	Homo sapiens (Human)	976
ITGAE	P38570	ITAE_HUMAN	reviewed	Integrin alpha-E (HML-1 antigen) (Integrin alpha-IEL) (Mucosal lymphocyte 1 antigen) (CD antigen CD103) [Cleaved into: Integrin alpha-E light chain; Integrin alpha-E heavy chain]	ITGAE	3682;	Homo sapiens (Human)	1179
IL1B	P01584	IL1B_HUMAN	reviewed	Interleukin-1 beta (IL-1 beta) (Catabolin)	IL1B IL1F2	3553;	Homo sapiens (Human)	269
ORC1	Q13415	ORC1_HUMAN	reviewed	Origin recognition complex subunit 1 (Replication control protein 1)	ORC1 ORC1L PARC1	4998;	Homo sapiens (Human)	861
ORC1	Q9Y619	ORNT1_HUMAN	reviewed	Mitochondrial ornithine transporter 1 (Solute carrier family 25 member 15)	SLC25A15 ORC1 ORNT1 SP1855	10166;	Homo sapiens (Human)	301
MAMLD1	Q13495	MAMD1_HUMAN	reviewed	Mastermind-like domain-containing protein 1 (F18) (Protein CG1)	MAMLD1 CG1 CXorf6	10046;	Homo sapiens (Human)	774
SGCB	Q16585	SGCB_HUMAN	reviewed	Beta-sarcoglycan (Beta-SG) (43 kDa dystrophin-associated glycoprotein) (43DAG) (A3b)	SGCB	6443;	Homo sapiens (Human)	318
MOK	Q9UQ07	MOK_HUMAN	reviewed	MAPK/MAK/MRK overlapping kinase (EC 2.7.11.22) (MOK protein kinase) (Renal tumor antigen 1) (RAGE-1)	MOK RAGE RAGE1	5891;	Homo sapiens (Human)	419
CD40	P25942	TNR5_HUMAN	reviewed	Tumor necrosis factor receptor superfamily member 5 (B-cell surface antigen CD40) (Bp50) (CD40L receptor) (CDw40) (CD antigen CD40)	CD40 TNFRSF5	958;	Homo sapiens (Human)	277
PEX11A	O75192	PX11A_HUMAN	reviewed	Peroxisomal membrane protein 11A (HsPEX11p) (28 kDa peroxisomal integral membrane protein) (PMP28) (Peroxin-11A) (Peroxisomal biogenesis factor 11A) (Protein PEX11 homolog alpha) (PEX11-alpha)	PEX11A PEX11	8800;	Homo sapiens (Human)	247
CLTB	P09497	CLCB_HUMAN	reviewed	Clathrin light chain B (Lcb)	CLTB	1212;	Homo sapiens (Human)	229
CD58	P19256	LFA3_HUMAN	reviewed	Lymphocyte function-associated antigen 3 (Ag3) (Surface glycoprotein LFA-3) (CD antigen CD58)	CD58 LFA3	965;	Homo sapiens (Human)	250
PLS1	Q14651	PLSI_HUMAN	reviewed	Plastin-1 (Intestine-specific plastin) (I-plastin)	PLS1	5357;	Homo sapiens (Human)	629
PCMT1	P22061	PIMT_HUMAN	reviewed	Protein-L-isoaspartate(D-aspartate) O-methyltransferase (PIMT) (EC 2.1.1.77) (L-isoaspartyl protein carboxyl methyltransferase) (Protein L-isoaspartyl/D-aspartyl methyltransferase) (Protein-beta-aspartate methyltransferase)	PCMT1	5110;	Homo sapiens (Human)	227
RELB	Q01201	RELB_HUMAN	reviewed	Transcription factor RelB (I-Rel)	RELB	5971;	Homo sapiens (Human)	579
GNA15	P30679	GNA15_HUMAN	reviewed	Guanine nucleotide-binding protein subunit alpha-15 (G alpha-15) (G-protein subunit alpha-15) (Epididymis tissue protein Li 17E) (Guanine nucleotide-binding protein subunit alpha-16) (G alpha-16) (G-protein subunit alpha-16)	GNA15 GNA16	2769;	Homo sapiens (Human)	374
INPP4B	O15327	INP4B_HUMAN	reviewed	Inositol polyphosphate 4-phosphatase type II (Type II inositol 3,4-bisphosphate 4-phosphatase) (EC 3.1.3.66)	INPP4B	8821;	Homo sapiens (Human)	924
CBR3	O75828	CBR3_HUMAN	reviewed	Carbonyl reductase [NADPH] 3 (EC 1.1.1.184) (NADPH-dependent carbonyl reductase 3) (Short chain dehydrogenase/reductase family 21C member 2)	CBR3	874;	Homo sapiens (Human)	277
CHEK1	O14757	CHK1_HUMAN	reviewed	Serine/threonine-protein kinase Chk1 (EC 2.7.11.1) (CHK1 checkpoint homolog) (Cell cycle checkpoint kinase) (Checkpoint kinase-1)	CHEK1 CHK1	1111;	Homo sapiens (Human)	476
SMAD3	P84022	SMAD3_HUMAN	reviewed	Mothers against decapentaplegic homolog 3 (MAD homolog 3) (Mad3) (Mothers against DPP homolog 3) (hMAD-3) (JV15-2) (SMAD family member 3) (SMAD 3) (Smad3) (hSMAD3)	SMAD3 MADH3	4088;	Homo sapiens (Human)	425
DAG1	Q14118	DAG1_HUMAN	reviewed	Dystroglycan 1 (Dystroglycan) (Dystrophin-associated glycoprotein 1) [Cleaved into: Alpha-dystroglycan (Alpha-DG); Beta-dystroglycan (Beta-DG)]	DAG1	1605;	Homo sapiens (Human)	895
PHKA1	P46020	KPB1_HUMAN	reviewed	Phosphorylase b kinase regulatory subunit alpha, skeletal muscle isoform (Phosphorylase kinase alpha M subunit)	PHKA1 PHKA	5255;	Homo sapiens (Human)	1223
FOXO4	P98177	FOXO4_HUMAN	reviewed	Forkhead box protein O4 (Fork head domain transcription factor AFX1)	FOXO4 AFX AFX1 MLLT7	4303;	Homo sapiens (Human)	505
PIGB	Q92521	PIGB_HUMAN	reviewed	GPI mannosyltransferase 3 (EC 2.4.1.-) (GPI mannosyltransferase III) (GPI-MT-III) (Phosphatidylinositol-glycan biosynthesis class B protein) (PIG-B)	PIGB	9488;	Homo sapiens (Human)	554
PDGFA	P04085	PDGFA_HUMAN	reviewed	Platelet-derived growth factor subunit A (PDGF subunit A) (PDGF-1) (Platelet-derived growth factor A chain) (Platelet-derived growth factor alpha polypeptide)	PDGFA PDGF1	5154;	Homo sapiens (Human)	211
CASP10	Q92851	CASPA_HUMAN	reviewed	Caspase-10 (CASP-10) (EC 3.4.22.63) (Apoptotic protease Mch-4) (FAS-associated death domain protein interleukin-1B-converting enzyme 2) (FLICE2) (ICE-like apoptotic protease 4) [Cleaved into: Caspase-10 subunit p23/17; Caspase-10 subunit p12]	CASP10 MCH4	843;	Homo sapiens (Human)	521
GHR	P10912	GHR_HUMAN	reviewed	Growth hormone receptor (GH receptor) (Somatotropin receptor) [Cleaved into: Growth hormone-binding protein (GH-binding protein) (GHBP) (Serum-binding protein)]	GHR	2690;	Homo sapiens (Human)	638
C5	P01031	CO5_HUMAN	reviewed	Complement C5 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 4) [Cleaved into: Complement C5 beta chain; Complement C5 alpha chain; C5a anaphylatoxin; Complement C5 alpha' chain]	C5 CPAMD4	727;	Homo sapiens (Human)	1676
BTK	Q06187	BTK_HUMAN	reviewed	Tyrosine-protein kinase BTK (EC 2.7.10.2) (Agammaglobulinemia tyrosine kinase) (ATK) (B-cell progenitor kinase) (BPK) (Bruton tyrosine kinase)	BTK AGMX1 ATK BPK	695;	Homo sapiens (Human)	659
RPP38	P78345	RPP38_HUMAN	reviewed	Ribonuclease P protein subunit p38 (RNaseP protein p38)	RPP38	10557;	Homo sapiens (Human)	283
SNX7	Q9UNH6	SNX7_HUMAN	reviewed	Sorting nexin-7	SNX7	51375;	Homo sapiens (Human)	387
NOS3	P29474	NOS3_HUMAN	reviewed	Nitric oxide synthase, endothelial (EC 1.14.13.39) (Constitutive NOS) (cNOS) (EC-NOS) (Endothelial NOS) (eNOS) (NOS type III) (NOSIII)	NOS3	4846;	Homo sapiens (Human)	1203
NOS3	P60323	NANO3_HUMAN	reviewed	Nanos homolog 3 (NOS-3)	NANOS3 NOS3	342977;	Homo sapiens (Human)	173
SCYL3	Q8IZE3	PACE1_HUMAN	reviewed	Protein-associating with the carboxyl-terminal domain of ezrin (Ezrin-binding protein PACE-1) (SCY1-like protein 3)	SCYL3 PACE1	57147;	Homo sapiens (Human)	742
ALAS1	P13196	HEM1_HUMAN	reviewed	5-aminolevulinate synthase, nonspecific, mitochondrial (ALAS-H) (EC 2.3.1.37) (5-aminolevulinic acid synthase 1) (Delta-ALA synthase 1) (Delta-aminolevulinate synthase 1)	ALAS1 ALAS3 ALASH OK/SW-cl.121	211;	Homo sapiens (Human)	640
SYNGR3	O43761	SNG3_HUMAN	reviewed	Synaptogyrin-3	SYNGR3	9143;	Homo sapiens (Human)	229
BPHL	Q86WA6	BPHL_HUMAN	reviewed	Valacyclovir hydrolase (VACVase) (Valacyclovirase) (EC 3.1.-.-) (Biphenyl hydrolase-like protein) (Biphenyl hydrolase-related protein) (Bph-rp) (Breast epithelial mucin-associated antigen) (MCNAA)	BPHL MCNAA	670;	Homo sapiens (Human)	291
POLG2	Q9UHN1	DPOG2_HUMAN	reviewed	DNA polymerase subunit gamma-2, mitochondrial (DNA polymerase gamma accessory 55 kDa subunit) (p55) (Mitochondrial DNA polymerase accessory subunit) (MtPolB) (PolG-beta)	POLG2 MTPOLB	11232;	Homo sapiens (Human)	485
NOLC1	Q14978	NOLC1_HUMAN	reviewed	Nucleolar and coiled-body phosphoprotein 1 (140 kDa nucleolar phosphoprotein) (Nopp140) (Hepatitis C virus NS5A-transactivated protein 13) (HCV NS5A-transactivated protein 13) (Nucleolar 130 kDa protein) (Nucleolar phosphoprotein p130)	NOLC1 KIAA0035 NS5ATP13	9221;	Homo sapiens (Human)	699
NFATC4	Q14934	NFAC4_HUMAN	reviewed	Nuclear factor of activated T-cells, cytoplasmic 4 (NF-ATc4) (NFATc4) (T-cell transcription factor NFAT3) (NF-AT3)	NFATC4 NFAT3	4776;	Homo sapiens (Human)	902
CCNA1	P78396	CCNA1_HUMAN	reviewed	Cyclin-A1	CCNA1	8900;	Homo sapiens (Human)	465
POLE2	P56282	DPOE2_HUMAN	reviewed	DNA polymerase epsilon subunit 2 (DNA polymerase II subunit 2) (DNA polymerase epsilon subunit B)	POLE2 DPE2	5427;	Homo sapiens (Human)	527
DNAJA3	Q96EY1	DNJA3_HUMAN	reviewed	DnaJ homolog subfamily A member 3, mitochondrial (DnaJ protein Tid-1) (hTid-1) (Hepatocellular carcinoma-associated antigen 57) (Tumorous imaginal discs protein Tid56 homolog)	DNAJA3 HCA57 TID1	9093;	Homo sapiens (Human)	480
FOXJ3	Q9UPW0	FOXJ3_HUMAN	reviewed	Forkhead box protein J3	FOXJ3 KIAA1041	22887;	Homo sapiens (Human)	622
RNH1	O60930	RNH1_HUMAN	reviewed	Ribonuclease H1 (RNase H1) (EC 3.1.26.4) (Ribonuclease H type II)	RNASEH1 RNH1	246243;	Homo sapiens (Human)	286
RNH1	P13489	RINI_HUMAN	reviewed	Ribonuclease inhibitor (Placental ribonuclease inhibitor) (Placental RNase inhibitor) (Ribonuclease/angiogenin inhibitor 1) (RAI)	RNH1 PRI RNH	6050;	Homo sapiens (Human)	461
RAD51C	O43502	RA51C_HUMAN	reviewed	DNA repair protein RAD51 homolog 3 (R51H3) (RAD51 homolog C) (RAD51-like protein 2)	RAD51C RAD51L2	5889;	Homo sapiens (Human)	376
EPHA3	P29320	EPHA3_HUMAN	reviewed	Ephrin type-A receptor 3 (EC 2.7.10.1) (EPH-like kinase 4) (EK4) (hEK4) (HEK) (Human embryo kinase) (Tyrosine-protein kinase TYRO4) (Tyrosine-protein kinase receptor ETK1) (Eph-like tyrosine kinase 1)	EPHA3 ETK ETK1 HEK TYRO4	2042;	Homo sapiens (Human)	983
PRKCH	P24723	KPCL_HUMAN	reviewed	Protein kinase C eta type (EC 2.7.11.13) (PKC-L) (nPKC-eta)	PRKCH PKCL PRKCL	5583;	Homo sapiens (Human)	683
FUT1	P19526	FUT1_HUMAN	reviewed	Galactoside alpha-(1,2)-fucosyltransferase 1 (Alpha(1,2)FT 1) (Blood group H alpha 2-fucosyltransferase) (Fucosyltransferase 1) (GDP-L-fucose:beta-D-galactoside 2-alpha-L-fucosyltransferase 1) (Type 1 galactoside alpha-(1,2)-fucosyltransferase FUT1) (EC 2.4.1.69) (Type 2 galactoside alpha-(1,2)-fucosyltransferase FUT1) (EC 2.4.1.344)	FUT1 H HSC	2523;	Homo sapiens (Human)	365
ADRB2	P07550	ADRB2_HUMAN	reviewed	Beta-2 adrenergic receptor (Beta-2 adrenoreceptor) (Beta-2 adrenoceptor)	ADRB2 ADRB2R B2AR	154;	Homo sapiens (Human)	413
GABPB1	Q06547	GABP1_HUMAN	reviewed	GA-binding protein subunit beta-1 (GABP subunit beta-1) (GABPB-1) (GABP subunit beta-2) (GABPB-2) (Nuclear respiratory factor 2) (Transcription factor E4TF1-47) (Transcription factor E4TF1-53)	GABPB1 E4TF1B GABPB GABPB2	2553;	Homo sapiens (Human)	395
EGF	P01133	EGF_HUMAN	reviewed	Pro-epidermal growth factor (EGF) [Cleaved into: Epidermal growth factor (Urogastrone)]	EGF	1950;	Homo sapiens (Human)	1207
KIF14	Q15058	KIF14_HUMAN	reviewed	Kinesin-like protein KIF14	KIF14 KIAA0042	9928;	Homo sapiens (Human)	1648
ETV1	P50549	ETV1_HUMAN	reviewed	ETS translocation variant 1 (Ets-related protein 81)	ETV1 ER81	2115;	Homo sapiens (Human)	477
CSNK1A1	P48729	KC1A_HUMAN	reviewed	Casein kinase I isoform alpha (CKI-alpha) (EC 2.7.11.1) (CK1)	CSNK1A1	1452;	Homo sapiens (Human)	337
MAP4K4	O95819	M4K4_HUMAN	reviewed	Mitogen-activated protein kinase kinase kinase kinase 4 (EC 2.7.11.1) (HPK/GCK-like kinase HGK) (MAPK/ERK kinase kinase kinase 4) (MEK kinase kinase 4) (MEKKK 4) (Nck-interacting kinase)	MAP4K4 HGK KIAA0687 NIK	9448;	Homo sapiens (Human)	1239
GLRX	P35754	GLRX1_HUMAN	reviewed	Glutaredoxin-1 (Thioltransferase-1) (TTase-1)	GLRX GRX	2745;	Homo sapiens (Human)	106
PTPN6	P29350	PTN6_HUMAN	reviewed	Tyrosine-protein phosphatase non-receptor type 6 (EC 3.1.3.48) (Hematopoietic cell protein-tyrosine phosphatase) (Protein-tyrosine phosphatase 1C) (PTP-1C) (Protein-tyrosine phosphatase SHP-1) (SH-PTP1)	PTPN6 HCP PTP1C	5777;	Homo sapiens (Human)	595
CPSF4	O95639	CPSF4_HUMAN	reviewed	Cleavage and polyadenylation specificity factor subunit 4 (Cleavage and polyadenylation specificity factor 30 kDa subunit) (CPSF 30 kDa subunit) (NS1 effector domain-binding protein 1) (Neb-1) (No arches homolog)	CPSF4 CPSF30 NAR NEB1	10898;	Homo sapiens (Human)	269
LPAR2	Q9HBW0	LPAR2_HUMAN	reviewed	Lysophosphatidic acid receptor 2 (LPA receptor 2) (LPA-2) (Lysophosphatidic acid receptor Edg-4)	LPAR2 EDG4 LPA2	9170;	Homo sapiens (Human)	348
DFFB	O76075	DFFB_HUMAN	reviewed	DNA fragmentation factor subunit beta (EC 3.-.-.-) (Caspase-activated deoxyribonuclease) (CAD) (Caspase-activated DNase) (Caspase-activated nuclease) (CPAN) (DNA fragmentation factor 40 kDa subunit) (DFF-40)	DFFB CAD DFF2 DFF40	1677;	Homo sapiens (Human)	338
SLC35A3	Q9Y2D2	S35A3_HUMAN	reviewed	UDP-N-acetylglucosamine transporter (Golgi UDP-GlcNAc transporter) (Solute carrier family 35 member A3)	SLC35A3	23443;	Homo sapiens (Human)	325
HDAC6	Q9UBN7	HDAC6_HUMAN	reviewed	Histone deacetylase 6 (HD6) (EC 3.5.1.98) (Tubulin-lysine deacetylase HDAC6) (EC 3.5.1.-)	HDAC6 KIAA0901 JM21	10013;	Homo sapiens (Human)	1215
GLI2	P10070	GLI2_HUMAN	reviewed	Zinc finger protein GLI2 (GLI family zinc finger protein 2) (Tax helper protein)	GLI2 THP	2736;	Homo sapiens (Human)	1586
CDKN2A	P42771	CDN2A_HUMAN	reviewed	Cyclin-dependent kinase inhibitor 2A (Cyclin-dependent kinase 4 inhibitor A) (CDK4I) (Multiple tumor suppressor 1) (MTS-1) (p16-INK4a) (p16-INK4) (p16INK4A)	CDKN2A CDKN2 MTS1	1029;	Homo sapiens (Human)	156
CDKN2A	Q8N726	ARF_HUMAN	reviewed	Tumor suppressor ARF (Alternative reading frame) (ARF) (Cyclin-dependent kinase inhibitor 2A) (p14ARF)	CDKN2A CDKN2 MLM	1029;	Homo sapiens (Human)	132
E2F2	Q14209	E2F2_HUMAN	reviewed	Transcription factor E2F2 (E2F-2)	E2F2	1870;	Homo sapiens (Human)	437
CDK6	Q00534	CDK6_HUMAN	reviewed	Cyclin-dependent kinase 6 (EC 2.7.11.22) (Cell division protein kinase 6) (Serine/threonine-protein kinase PLSTIRE)	CDK6 CDKN6	1021;	Homo sapiens (Human)	326
AKT1	P31749	AKT1_HUMAN	reviewed	RAC-alpha serine/threonine-protein kinase (EC 2.7.11.1) (Protein kinase B) (PKB) (Protein kinase B alpha) (PKB alpha) (Proto-oncogene c-Akt) (RAC-PK-alpha)	AKT1 PKB RAC	207;	Homo sapiens (Human)	480
CASP7	P55210	CASP7_HUMAN	reviewed	Caspase-7 (CASP-7) (EC 3.4.22.60) (Apoptotic protease Mch-3) (CMH-1) (ICE-like apoptotic protease 3) (ICE-LAP3) [Cleaved into: Caspase-7 subunit p20; Caspase-7 subunit p11]	CASP7 MCH3	840;	Homo sapiens (Human)	303
TNIP1	Q15025	TNIP1_HUMAN	reviewed	TNFAIP3-interacting protein 1 (A20-binding inhibitor of NF-kappa-B activation 1) (ABIN-1) (HIV-1 Nef-interacting protein) (Nef-associated factor 1) (Naf1) (Nip40-1) (Virion-associated nuclear shuttling protein) (VAN) (hVAN)	TNIP1 KIAA0113 NAF1	10318;	Homo sapiens (Human)	636
TERT	O14746	TERT_HUMAN	reviewed	Telomerase reverse transcriptase (EC 2.7.7.49) (HEST2) (Telomerase catalytic subunit) (Telomerase-associated protein 2) (TP2)	TERT EST2 TCS1 TRT	7015;	Homo sapiens (Human)	1132
PTPRC	P08575	PTPRC_HUMAN	reviewed	Receptor-type tyrosine-protein phosphatase C (EC 3.1.3.48) (Leukocyte common antigen) (L-CA) (T200) (CD antigen CD45)	PTPRC CD45	5788;	Homo sapiens (Human)	1306
TGFBR2	P37173	TGFR2_HUMAN	reviewed	TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II) (TGF-beta receptor type II) (TbetaR-II)	TGFBR2	7048;	Homo sapiens (Human)	567
NFATC3	Q12968	NFAC3_HUMAN	reviewed	Nuclear factor of activated T-cells, cytoplasmic 3 (NF-ATc3) (NFATc3) (NFATx) (T-cell transcription factor NFAT4) (NF-AT4) (NF-AT4c)	NFATC3 NFAT4	4775;	Homo sapiens (Human)	1075
RAC2	P15153	RAC2_HUMAN	reviewed	Ras-related C3 botulinum toxin substrate 2 (GX) (Small G protein) (p21-Rac2)	RAC2	5880;	Homo sapiens (Human)	192
POLR1C	O15160	RPAC1_HUMAN	reviewed	DNA-directed RNA polymerases I and III subunit RPAC1 (DNA-directed RNA polymerase I subunit C) (RNA polymerases I and III subunit AC1) (AC40) (DNA-directed RNA polymerases I and III 40 kDa polypeptide) (RPA40) (RPA39) (RPC40)	POLR1C POLR1E	9533;	Homo sapiens (Human)	346
NFKB2	Q00653	NFKB2_HUMAN	reviewed	Nuclear factor NF-kappa-B p100 subunit (DNA-binding factor KBF2) (H2TF1) (Lymphocyte translocation chromosome 10 protein) (Nuclear factor of kappa light polypeptide gene enhancer in B-cells 2) (Oncogene Lyt-10) (Lyt10) [Cleaved into: Nuclear factor NF-kappa-B p52 subunit]	NFKB2 LYT10	4791;	Homo sapiens (Human)	900
SYK	P43405	KSYK_HUMAN	reviewed	Tyrosine-protein kinase SYK (EC 2.7.10.2) (Spleen tyrosine kinase) (p72-Syk)	SYK	6850;	Homo sapiens (Human)	635
CASK	O14936	CSKP_HUMAN	reviewed	Peripheral plasma membrane protein CASK (hCASK) (EC 2.7.11.1) (Calcium/calmodulin-dependent serine protein kinase) (Protein lin-2 homolog)	CASK LIN2	8573;	Homo sapiens (Human)	926
CASK	P07498	CASK_HUMAN	reviewed	Kappa-casein	CSN3 CASK CSN10 CSNK	1448;	Homo sapiens (Human)	182
NCOA3	Q9Y6Q9	NCOA3_HUMAN	reviewed	Nuclear receptor coactivator 3 (NCoA-3) (EC 2.3.1.48) (ACTR) (Amplified in breast cancer 1 protein) (AIB-1) (CBP-interacting protein) (pCIP) (Class E basic helix-loop-helix protein 42) (bHLHe42) (Receptor-associated coactivator 3) (RAC-3) (Steroid receptor coactivator protein 3) (SRC-3) (Thyroid hormone receptor activator molecule 1) (TRAM-1)	NCOA3 AIB1 BHLHE42 RAC3 TRAM1	8202;	Homo sapiens (Human)	1424
PSMD9	O00233	PSMD9_HUMAN	reviewed	26S proteasome non-ATPase regulatory subunit 9 (26S proteasome regulatory subunit p27)	PSMD9	5715;	Homo sapiens (Human)	223
PROS1	P07225	PROS_HUMAN	reviewed	Vitamin K-dependent protein S	PROS1 PROS	5627;	Homo sapiens (Human)	676
CASC3	O15234	CASC3_HUMAN	reviewed	Protein CASC3 (Cancer susceptibility candidate gene 3 protein) (Metastatic lymph node gene 51 protein) (MLN 51) (Protein barentsz) (Btz)	CASC3 MLN51	22794;	Homo sapiens (Human)	703
MUC1	P15941	MUC1_HUMAN	reviewed	Mucin-1 (MUC-1) (Breast carcinoma-associated antigen DF3) (Cancer antigen 15-3) (CA 15-3) (Carcinoma-associated mucin) (Episialin) (H23AG) (Krebs von den Lungen-6) (KL-6) (PEMT) (Peanut-reactive urinary mucin) (PUM) (Polymorphic epithelial mucin) (PEM) (Tumor-associated epithelial membrane antigen) (EMA) (Tumor-associated mucin) (CD antigen CD227) [Cleaved into: Mucin-1 subunit alpha (MUC1-NT) (MUC1-alpha); Mucin-1 subunit beta (MUC1-beta) (MUC1-CT)]	MUC1 PUM	4582;	Homo sapiens (Human)	1255
ST7	Q9NRC1	ST7_HUMAN	reviewed	Suppressor of tumorigenicity 7 protein (Protein FAM4A1) (Protein HELG)	ST7 FAM4A1 HELG RAY1	7982;	Homo sapiens (Human)	585
ST7	Q9Y561	LRP12_HUMAN	reviewed	Low-density lipoprotein receptor-related protein 12 (LDLR-related protein 12) (LRP-12) (Suppressor of tumorigenicity 7 protein)	LRP12 ST7	29967;	Homo sapiens (Human)	859
NVL	O15381	NVL_HUMAN	reviewed	Nuclear valosin-containing protein-like (NVLp) (Nuclear VCP-like protein)	NVL NVL2	4931;	Homo sapiens (Human)	856
MEF2C	Q06413	MEF2C_HUMAN	reviewed	Myocyte-specific enhancer factor 2C (Myocyte enhancer factor 2C)	MEF2C	4208;	Homo sapiens (Human)	473
CHP1	Q99653	CHP1_HUMAN	reviewed	Calcineurin B homologous protein 1 (Calcineurin B-like protein) (Calcium-binding protein CHP) (Calcium-binding protein p22) (EF-hand calcium-binding domain-containing protein p22)	CHP1 CHP	11261;	Homo sapiens (Human)	195
CHP1	Q9UHD1	CHRD1_HUMAN	reviewed	Cysteine and histidine-rich domain-containing protein 1 (CHORD domain-containing protein 1) (CHORD-containing protein 1) (CHP-1) (Protein morgana)	CHORDC1 CHP1	26973;	Homo sapiens (Human)	332
HMGA2	P52926	HMGA2_HUMAN	reviewed	High mobility group protein HMGI-C (High mobility group AT-hook protein 2)	HMGA2 HMGIC	8091;	Homo sapiens (Human)	109
CASP2	P42575	CASP2_HUMAN	reviewed	Caspase-2 (CASP-2) (EC 3.4.22.55) (Neural precursor cell expressed developmentally down-regulated protein 2) (NEDD-2) (Protease ICH-1) [Cleaved into: Caspase-2 subunit p18; Caspase-2 subunit p13; Caspase-2 subunit p12]	CASP2 ICH1 NEDD2	835;	Homo sapiens (Human)	452
LSR	Q86X29	LSR_HUMAN	reviewed	Lipolysis-stimulated lipoprotein receptor (Angulin-1)	LSR ILDR3 LISCH	51599;	Homo sapiens (Human)	649
MALT1	Q9UDY8	MALT1_HUMAN	reviewed	Mucosa-associated lymphoid tissue lymphoma translocation protein 1 (EC 3.4.22.-) (MALT lymphoma-associated translocation) (Paracaspase)	MALT1 MLT	10892;	Homo sapiens (Human)	824
TBPL1	P62380	TBPL1_HUMAN	reviewed	TATA box-binding protein-like 1 (TBP-like 1) (21 kDa TBP-like protein) (Second TBP of unique DNA protein) (STUD) (TATA box-binding protein-related factor 2) (TBP-related factor 2) (TBP-like factor) (TBP-related protein)	TBPL1 TLF TLP TLP21 TRF2 TRP	9519;	Homo sapiens (Human)	186
CTNND1	O60716	CTND1_HUMAN	reviewed	Catenin delta-1 (Cadherin-associated Src substrate) (CAS) (p120 catenin) (p120(ctn)) (p120(cas))	CTNND1 KIAA0384	1500;	Homo sapiens (Human)	968
CIAPIN1	Q6FI81	CPIN1_HUMAN	reviewed	Anamorsin (Cytokine-induced apoptosis inhibitor 1) (Fe-S cluster assembly protein DRE2 homolog)	CIAPIN1 CUA001 PRO0915	57019;	Homo sapiens (Human)	312
BAX	Q07812	BAX_HUMAN	reviewed	Apoptosis regulator BAX (Bcl-2-like protein 4) (Bcl2-L-4)	BAX BCL2L4	581;	Homo sapiens (Human)	192
PPARG	P37231	PPARG_HUMAN	reviewed	Peroxisome proliferator-activated receptor gamma (PPAR-gamma) (Nuclear receptor subfamily 1 group C member 3)	PPARG NR1C3	5468;	Homo sapiens (Human)	505
SPTAN1	Q13813	SPTN1_HUMAN	reviewed	Spectrin alpha chain, non-erythrocytic 1 (Alpha-II spectrin) (Fodrin alpha chain) (Spectrin, non-erythroid alpha subunit)	SPTAN1 NEAS SPTA2	6709;	Homo sapiens (Human)	2472
EIF4G1	Q04637	IF4G1_HUMAN	reviewed	Eukaryotic translation initiation factor 4 gamma 1 (eIF-4-gamma 1) (eIF-4G 1) (eIF-4G1) (p220)	EIF4G1 EIF4F EIF4G EIF4GI	1981;	Homo sapiens (Human)	1599
VAT1	P54219	VMAT1_HUMAN	reviewed	Chromaffin granule amine transporter (Solute carrier family 18 member 1) (Vesicular amine transporter 1) (VAT1)	SLC18A1 VAT1 VMAT1	6570;	Homo sapiens (Human)	525
VAT1	Q99536	VAT1_HUMAN	reviewed	Synaptic vesicle membrane protein VAT-1 homolog (EC 1.-.-.-)	VAT1	10493;	Homo sapiens (Human)	393
MACF1	Q9UPN3	MACF1_HUMAN	reviewed	Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5 (620 kDa actin-binding protein) (ABP620) (Actin cross-linking family protein 7) (Macrophin-1) (Trabeculin-alpha)	MACF1 ABP620 ACF7 KIAA0465 KIAA1251	23499;	Homo sapiens (Human)	7388
